      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
61   0.031378    0.875215  0.047606  -2.962710  -2.968961   0.089791   0.089705   -0.101118   -0.110099
62   0.031876    0.876528  0.047739  -2.917316  -2.923610   0.092578   0.092489   -0.013012   -0.022100
63   0.032374    0.877854  0.047874  -2.871959  -2.878297   0.095423   0.095330    0.075546    0.066350
64   0.032872    0.879193  0.048010  -2.826632  -2.833014   0.098327   0.098231    0.164568    0.155264
65   0.033370    0.880546  0.048148  -2.781325  -2.787752   0.101291   0.101191    0.254067    0.244653
66   0.033868    0.881913  0.048288  -2.736031  -2.742503   0.104316   0.104213    0.344056    0.334530
67   0.034366    0.883296  0.048429  -2.690743  -2.697259   0.107404   0.107296    0.434545    0.424908
68   0.034864    0.884690  0.048571  -2.645451  -2.652013   0.110554   0.110443    0.525548    0.515797
69   0.035362    0.886104  0.048716  -2.600151  -2.606758   0.113768   0.113652    0.617075    0.607209
70   0.035860    0.887535  0.048862  -2.554833  -2.561487   0.117046   0.116927    0.709137    0.699156
71   0.036358    0.888983  0.049011  -2.509493  -2.516193   0.120390   0.120266    0.801747    0.791648
72   0.036856    0.890449  0.049161  -2.464122  -2.470869   0.123801   0.123673    0.894914    0.884697
73   0.037354    0.891934  0.049314  -2.418716  -2.425509   0.127279   0.127146    0.988650    0.978313
74   0.037852    0.893437  0.049469  -2.373267  -2.380108   0.130825   0.130688    1.082964    1.072507
75   0.038350    0.894964  0.049626  -2.327770  -2.334659   0.134441   0.134300    1.177868    1.167288
76   0.038848    0.896509  0.049785  -2.282219  -2.289156   0.138128   0.137981    1.273373    1.262668
77   0.039346    0.898075  0.049947  -2.236609  -2.243594   0.141885   0.141734    1.369486    1.358657
78   0.039844    0.899663  0.050111  -2.190933  -2.197967   0.145716   0.145559    1.466220    1.455264
79   0.040342    0.901275  0.050278  -2.145187  -2.152271   0.149619   0.149458    1.563584    1.552500
80   0.040840    0.902910  0.050448  -2.099366  -2.106499   0.153597   0.153431    1.661588    1.650374
81   0.041338    0.904571  0.050620  -2.053464  -2.060647   0.157651   0.157479    1.760241    1.748895
82   0.041836    0.906258  0.050796  -2.007477  -2.014710   0.161781   0.161603    1.859553    1.848075
83   0.042334    0.907972  0.050974  -1.961399  -1.968683   0.165989   0.165806    1.959534    1.947921
84   0.042832    0.909714  0.051156  -1.915226  -1.922562   0.170275   0.170086    2.060193    2.048443
85   0.043330    0.911485  0.051340  -1.868954  -1.876341   0.174641   0.174446    2.161540    2.149651
86   0.043828    0.913287  0.051529  -1.822578  -1.830017   0.179088   0.178887    2.263583    2.251555
87   0.044326    0.915121  0.051721  -1.776094  -1.783585   0.183617   0.183410    2.366333    2.354162
88   0.044824    0.916988  0.051916  -1.729497  -1.737041   0.188229   0.188015    2.469798    2.457483
89   0.045322    0.918889  0.052116  -1.682783  -1.690380   0.192925   0.192705    2.573987    2.561526
90   0.045820    0.920826  0.052320  -1.635949  -1.643599   0.197707   0.197480    2.678910    2.666300
91   0.046318    0.922801  0.052528  -1.588989  -1.596694   0.202575   0.202341    2.784575    2.771815
92   0.046816    0.924814  0.052740  -1.541900  -1.549660   0.207530   0.207289    2.890992    2.878079
93   0.047314    0.926868  0.052957  -1.494679  -1.502493   0.212575   0.212326    2.998169    2.985102
94   0.047812    0.928965  0.053179  -1.447321  -1.455191   0.217709   0.217453    3.106116    3.092891
95   0.048310    0.931107  0.053406  -1.399822  -1.407748   0.222934   0.222671    3.214841    3.201456
96   0.048808    0.933295  0.053638  -1.352180  -1.360162   0.228252   0.227981    3.324354    3.310806
97   0.049306    0.935533  0.053876  -1.304390  -1.312429   0.233664   0.233384    3.434662    3.420949
