       S2         alpha           B4     error       B4*    error*
90   0.90  2.896424e+01  2856.812771  2.633598  0.166731  0.000154
91   0.91  3.230139e+01  2814.310825  2.520880  0.172351  0.000154
92   0.92  3.647181e+01  2760.459480  2.346815  0.178006  0.000151
93   0.93  4.183265e+01  2720.132202  2.268121  0.184899  0.000154
94   0.94  4.897916e+01  2649.748192  2.136797  0.191469  0.000154
95   0.95  5.898275e+01  2581.417011  2.024346  0.199189  0.000156
96   0.96  7.398630e+01  2497.886178  1.869666  0.208028  0.000156
97   0.97  9.898979e+01  2384.558973  1.748030  0.217585  0.000160
98   0.98  1.489932e+02  2235.875790  1.576435  0.228156  0.000161
99   0.99  2.989966e+02  2018.093864  1.319772  0.239173  0.000156
100  1.00  1.000000e+14  1327.340511  0.923918  0.235334  0.000164
