      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    3.936239  0.430894  -7.869999  -8.303306   0.001038   0.001036   -6.831947   -7.267609
1    0.001498    3.947836  0.432012  -7.446845  -7.881332   0.001584   0.001579   -6.389399   -6.827465
2    0.001996    3.959640  0.433146  -7.140659  -7.576344   0.002150   0.002140   -6.063521   -6.504041
3    0.002494    3.971652  0.434296  -6.898596  -7.335496   0.002736   0.002721   -5.801465   -6.244491
4    0.002992    3.983876  0.435463  -6.697072  -7.135204   0.003343   0.003321   -5.579646   -6.025230
5    0.003490    3.996316  0.436647  -6.523492  -6.962873   0.003972   0.003941   -5.385467   -5.833661
6    0.003988    4.008974  0.437847  -6.370333  -6.810980   0.004622   0.004581   -5.211401   -5.662259
7    0.004486    4.021855  0.439064  -6.232739  -6.674670   0.005294   0.005242   -5.052591   -5.506167
8    0.004984    4.034962  0.440298  -6.107393  -6.550626   0.005989   0.005924   -4.905717   -5.362065
9    0.005482    4.048299  0.441549  -5.991927  -6.436480   0.006707   0.006627   -4.768410   -5.227587
10   0.005980    4.061871  0.442818  -5.884595  -6.330485   0.007449   0.007352   -4.638919   -5.100981
11   0.006478    4.075685  0.444104  -5.784067  -6.231313   0.008215   0.008100   -4.515914   -4.980919
12   0.006976    4.089738  0.445407  -5.689311  -6.137931   0.009006   0.008870   -4.398359   -4.866366
13   0.007474    4.104037  0.446728  -5.599507  -6.049521   0.009821   0.009664   -4.285434   -4.756501
14   0.007972    4.118588  0.448067  -5.513997  -5.965423   0.010663   0.010481   -4.176475   -4.650664
15   0.008470    4.133395  0.449424  -5.432238  -5.885096   0.011530   0.011323   -4.070939   -4.548311
16   0.008968    4.148463  0.450800  -5.353783  -5.808092   0.012424   0.012188   -3.968376   -4.448994
17   0.009466    4.163796  0.452194  -5.278258  -5.734037   0.013346   0.013079   -3.868408   -4.352335
18   0.009964    4.179402  0.453606  -5.205343  -5.662614   0.014295   0.013995   -3.770714   -4.258016
19   0.010462    4.195279  0.455037  -5.134769  -5.593551   0.015272   0.014938   -3.675021   -4.165764
20   0.010960    4.211439  0.456487  -5.066300  -5.526614   0.016278   0.015906   -3.581091   -4.075344
21   0.011458    4.227884  0.457955  -4.999736  -5.461602   0.017313   0.016901   -3.488721   -3.986552
22   0.011956    4.244621  0.459444  -4.934899  -5.398339   0.018378   0.017924   -3.397730   -3.899209
