      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    3.538333  0.390330  -7.869999  -8.221161   0.001038   0.001036   -6.831947   -7.185036
1    0.001498    3.547921  0.391359  -7.446845  -7.798973   0.001584   0.001580   -6.389399   -6.744453
2    0.001996    3.557680  0.392404  -7.140659  -7.493766   0.002150   0.002142   -6.063521   -6.420582
3    0.002494    3.567611  0.393464  -6.898596  -7.252697   0.002736   0.002724   -5.801465   -6.160575
4    0.002992    3.577717  0.394540  -6.697072  -7.052180   0.003343   0.003325   -5.579646   -5.940846
5    0.003490    3.588002  0.395632  -6.523492  -6.879621   0.003972   0.003947   -5.385467   -5.748799
6    0.003988    3.598468  0.396741  -6.370333  -6.727497   0.004622   0.004589   -5.211401   -5.576909
7    0.004486    3.609119  0.397866  -6.232739  -6.590952   0.005294   0.005251   -5.052591   -5.420319
8    0.004984    3.619958  0.399007  -6.107393  -6.466669   0.005989   0.005936   -4.905717   -5.275709
9    0.005482    3.630989  0.400166  -5.991927  -6.352282   0.006707   0.006642   -4.768410   -5.140712
10   0.005980    3.642215  0.401341  -5.884595  -6.246042   0.007449   0.007370   -4.638919   -5.013576
11   0.006478    3.653636  0.402533  -5.784067  -6.146621   0.008215   0.008121   -4.515914   -4.892974
12   0.006976    3.665263  0.403743  -5.689311  -6.052988   0.009006   0.008895   -4.398359   -4.777869
13   0.007474    3.677097  0.404971  -5.599507  -5.964323   0.009821   0.009693   -4.285434   -4.667442
14   0.007972    3.689141  0.406216  -5.513997  -5.879965   0.010663   0.010515   -4.176475   -4.561030
15   0.008470    3.701400  0.407480  -5.432238  -5.799375   0.011530   0.011361   -4.070939   -4.458091
16   0.008968    3.713877  0.408761  -5.353783  -5.722105   0.012424   0.012232   -3.968376   -4.358177
17   0.009466    3.726578  0.410062  -5.278258  -5.647781   0.013346   0.013128   -3.868408   -4.260909
18   0.009964    3.739506  0.411381  -5.205343  -5.576083   0.014295   0.014050   -3.770714   -4.165969
19   0.010462    3.752666  0.412719  -5.134769  -5.506742   0.015272   0.014999   -3.675021   -4.073084
