      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    0.086881  0.000503  -7.869999  -7.870000   0.001038   0.001038   -6.831947   -6.831949
1    0.001498    0.106034  0.000749  -7.446845  -7.446846   0.001584   0.001584   -6.389399   -6.389403
2    0.001996    0.122056  0.000992  -7.140659  -7.140661   0.002150   0.002150   -6.063521   -6.063528
3    0.002494    0.136061  0.001232  -6.898596  -6.898600   0.002736   0.002736   -5.801465   -5.801477
4    0.002992    0.148626  0.001470  -6.697072  -6.697078   0.003343   0.003343   -5.579646   -5.579663
5    0.003490    0.160095  0.001705  -6.523492  -6.523500   0.003972   0.003972   -5.385467   -5.385490
6    0.003988    0.170692  0.001937  -6.370333  -6.370343   0.004622   0.004622   -5.211401   -5.211431
7    0.004486    0.180573  0.002167  -6.232739  -6.232752   0.005294   0.005294   -5.052591   -5.052629
8    0.004984    0.189853  0.002395  -6.107393  -6.107409   0.005989   0.005989   -4.905717   -4.905764
9    0.005482    0.198619  0.002620  -5.991927  -5.991946   0.006707   0.006707   -4.768410   -4.768467
10   0.005980    0.206938  0.002843  -5.884595  -5.884617   0.007449   0.007449   -4.638919   -4.638987
11   0.006478    0.214865  0.003064  -5.784067  -5.784093   0.008215   0.008215   -4.515914   -4.515993
12   0.006976    0.222443  0.003283  -5.689311  -5.689341   0.009006   0.009005   -4.398359   -4.398451
13   0.007474    0.229708  0.003500  -5.599507  -5.599543   0.009821   0.009821   -4.285434   -4.285540
14   0.007972    0.236692  0.003715  -5.513997  -5.514037   0.010663   0.010662   -4.176475   -4.176595
15   0.008470    0.243420  0.003928  -5.432238  -5.432283   0.011530   0.011529   -4.070939   -4.071074
16   0.008968    0.249913  0.004139  -5.353783  -5.353834   0.012424   0.012423   -3.968376   -3.968527
17   0.009466    0.256190  0.004348  -5.278258  -5.278314   0.013346   0.013345   -3.868408   -3.868576
18   0.009964    0.262271  0.004556  -5.205343  -5.205406   0.014295   0.014293   -3.770714   -3.770900
19   0.010462    0.268165  0.004762  -5.134769  -5.134838   0.015272   0.015270   -3.675021   -3.675226
20   0.010960    0.273888  0.004966  -5.066300  -5.066376   0.016278   0.016276   -3.581091   -3.581316
21   0.011458    0.279452  0.005168  -4.999736  -4.999819   0.017313   0.017311   -3.488721   -3.488967
22   0.011956    0.284866  0.005368  -4.934899  -4.934988   0.018378   0.018376   -3.397730   -3.397997
23   0.012454    0.290144  0.005568  -4.871633  -4.871730   0.019474   0.019472   -3.307961   -3.308250
24   0.012952    0.295284  0.005765  -4.809802  -4.809907   0.020601   0.020598   -3.219273   -3.219585
25   0.013450    0.300305  0.005961  -4.749284  -4.749397   0.021759   0.021756   -3.131541   -3.131878
26   0.013948    0.305207  0.006156  -4.689971  -4.690092   0.022949   0.022946   -3.044655   -3.045017
27   0.014446    0.309996  0.006348  -4.631765  -4.631895   0.024172   0.024168   -2.958515   -2.958903
28   0.014944    0.314681  0.006540  -4.574579  -4.574718   0.025428   0.025424   -2.873029   -2.873444
29   0.015442    0.319265  0.006730  -4.518333  -4.518482   0.026718   0.026713   -2.788116   -2.788559
30   0.015940    0.323754  0.006919  -4.462958  -4.463116   0.028043   0.028038   -2.703702   -2.704173
31   0.016438    0.328152  0.007106  -4.408387  -4.408555   0.029402   0.029397   -2.619718   -2.620219
32   0.016936    0.332463  0.007292  -4.354561  -4.354740   0.030797   0.030791   -2.536102   -2.536633
33   0.017434    0.336693  0.007477  -4.301427  -4.301616   0.032229   0.032222   -2.452797   -2.453359
34   0.017932    0.340841  0.007660  -4.248934  -4.249133   0.033698   0.033690   -2.369750   -2.370344
35   0.018430    0.344914  0.007842  -4.197036  -4.197247   0.035204   0.035196   -2.286912   -2.287539
36   0.018928    0.348914  0.008023  -4.145693  -4.145915   0.036748   0.036740   -2.204237   -2.204899
37   0.019426    0.352843  0.008203  -4.094863  -4.095098   0.038331   0.038322   -2.121684   -2.122380
38   0.019924    0.356703  0.008381  -4.044513  -4.044759   0.039954   0.039944   -2.039213   -2.039945
39   0.020422    0.360502  0.008558  -3.994608  -3.994866   0.041616   0.041606   -1.956788   -1.957555
40   0.020920    0.364236  0.008734  -3.945117  -3.945388   0.043320   0.043309   -1.874373   -1.875178
41   0.021418    0.367910  0.008909  -3.896011  -3.896294   0.045065   0.045053   -1.791936   -1.792779
42   0.021916    0.371527  0.009083  -3.847262  -3.847559   0.046852   0.046840   -1.709447   -1.710329
43   0.022414    0.375087  0.009255  -3.798847  -3.799157   0.048683   0.048669   -1.626878   -1.627800
