      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    5.334794  0.543039  -7.869999  -8.596296   0.001038   0.001034   -6.831947   -7.562025
1    0.001498    5.353391  0.544262  -7.446845  -8.175037   0.001584   0.001575   -6.389399   -7.123332
2    0.001996    5.372309  0.545501  -7.140659  -7.870773   0.002150   0.002134   -6.063521   -6.801390
3    0.002494    5.391552  0.546754  -6.898596  -7.630658   0.002736   0.002712   -5.801465   -6.543349
4    0.002992    5.411127  0.548023  -6.697072  -7.431109   0.003343   0.003308   -5.579646   -6.325626
5    0.003490    5.431038  0.549306  -6.523492  -7.259530   0.003972   0.003922   -5.385467   -6.135625
6    0.003988    5.451292  0.550605  -6.370333  -7.108400   0.004622   0.004557   -5.211401   -5.965819
7    0.004486    5.471895  0.551919  -6.232739  -6.972861   0.005294   0.005211   -5.052591   -5.811353
8    0.004984    5.492853  0.553249  -6.107393  -6.849598   0.005989   0.005885   -4.905717   -5.668908
9    0.005482    5.514172  0.554594  -5.991927  -6.736243   0.006707   0.006579   -4.768410   -5.536116
10   0.005980    5.535856  0.555955  -5.884595  -6.631050   0.007449   0.007295   -4.638919   -5.411228
11   0.006478    5.557918  0.557331  -5.784067  -6.532689   0.008215   0.008031   -4.515914   -5.292913
12   0.006976    5.580362  0.558723  -5.689311  -6.440129   0.009006   0.008790   -4.398359   -5.180139
13   0.007474    5.603197  0.560131  -5.599507  -6.352550   0.009821   0.009570   -4.285434   -5.072084
14   0.007972    5.626427  0.561555  -5.513997  -6.269293   0.010663   0.010373   -4.176475   -4.968088
15   0.008470    5.650062  0.562995  -5.432238  -6.189818   0.011530   0.011199   -4.070939   -4.867608
16   0.008968    5.674110  0.564451  -5.353783  -6.113677   0.012424   0.012048   -3.968376   -4.770197
17   0.009466    5.698580  0.565923  -5.278258  -6.040495   0.013346   0.012921   -3.868408   -4.675476
18   0.009964    5.723479  0.567412  -5.205343  -5.969954   0.014295   0.013818   -3.770714   -4.583129
19   0.010462    5.748816  0.568917  -5.134769  -5.901784   0.015272   0.014740   -3.675021   -4.492881
20   0.010960    5.774602  0.570439  -5.066300  -5.835752   0.016278   0.015687   -3.581091   -4.404498
21   0.011458    5.800845  0.571978  -4.999736  -5.771655   0.017313   0.016659   -3.488721   -4.317778
22   0.011956    5.827555  0.573534  -4.934899  -5.709317   0.018378   0.017656   -3.397730   -4.232542
23   0.012454    5.854743  0.575106  -4.871633  -5.648583   0.019474   0.018680   -3.307961   -4.148633
24   0.012952    5.882419  0.576696  -4.809802  -5.589317   0.020601   0.019731   -3.219273   -4.065914
