      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    1.533597  0.128349  -7.869999  -7.907873   0.001038   0.001038   -6.831947   -6.870044
1    0.001498    1.536350  0.128727  -7.446845  -7.484830   0.001584   0.001584   -6.389399   -6.427722
2    0.001996    1.539142  0.129111  -7.140659  -7.178757   0.002150   0.002149   -6.063521   -6.102075
3    0.002494    1.541974  0.129500  -6.898596  -6.936809   0.002736   0.002735   -5.801465   -5.840255
4    0.002992    1.544847  0.129895  -6.697072  -6.735401   0.003343   0.003341   -5.579646   -5.618676
5    0.003490    1.547760  0.130296  -6.523492  -6.561938   0.003972   0.003969   -5.385467   -5.424742
6    0.003988    1.550713  0.130703  -6.370333  -6.408898   0.004622   0.004618   -5.211401   -5.250925
7    0.004486    1.553708  0.131116  -6.232739  -6.271425   0.005294   0.005289   -5.052591   -5.092370
8    0.004984    1.556744  0.131534  -6.107393  -6.146201   0.005989   0.005983   -4.905717   -4.945755
9    0.005482    1.559822  0.131959  -5.991927  -6.030859   0.006707   0.006700   -4.768410   -4.808712
10   0.005980    1.562943  0.132390  -5.884595  -5.923652   0.007449   0.007440   -4.638919   -4.679490
11   0.006478    1.566106  0.132827  -5.784067  -5.823251   0.008215   0.008204   -4.515914   -4.556759
12   0.006976    1.569312  0.133270  -5.689311  -5.728623   0.009006   0.008993   -4.398359   -4.439484
13   0.007474    1.572562  0.133719  -5.599507  -5.638950   0.009821   0.009807   -4.285434   -4.326843
14   0.007972    1.575856  0.134174  -5.513997  -5.553571   0.010663   0.010646   -4.176475   -4.218173
15   0.008470    1.579195  0.134636  -5.432238  -5.471946   0.011530   0.011511   -4.070939   -4.112932
16   0.008968    1.582578  0.135105  -5.353783  -5.393626   0.012424   0.012402   -3.968376   -4.010670
17   0.009466    1.586007  0.135580  -5.278258  -5.318238   0.013346   0.013321   -3.868408   -3.911007
18   0.009964    1.589481  0.136061  -5.205343  -5.245462   0.014295   0.014267   -3.770714   -3.813625
19   0.010462    1.593002  0.136550  -5.134769  -5.175028   0.015272   0.015241   -3.675021   -3.718249
20   0.010960    1.596570  0.137045  -5.066300  -5.106702   0.016278   0.016243   -3.581091   -3.624643
21   0.011458    1.600185  0.137547  -4.999736  -5.040282   0.017313   0.017275   -3.488721   -3.532602
22   0.011956    1.603848  0.138056  -4.934899  -4.975590   0.018378   0.018336   -3.397730   -3.441947
23   0.012454    1.607560  0.138572  -4.871633  -4.912472   0.019474   0.019428   -3.307961   -3.352519
24   0.012952    1.611321  0.139095  -4.809802  -4.850791   0.020601   0.020550   -3.219273   -3.264179
25   0.013450    1.615131  0.139625  -4.749284  -4.790425   0.021759   0.021703   -3.131541   -3.176802
26   0.013948    1.618992  0.140162  -4.689971  -4.731265   0.022949   0.022888   -3.044655   -3.090278
27   0.014446    1.622903  0.140707  -4.631765  -4.673214   0.024172   0.024106   -2.958515   -3.004505
28   0.014944    1.626866  0.141260  -4.574579  -4.616186   0.025428   0.025357   -2.873029   -2.919395
29   0.015442    1.630881  0.141819  -4.518333  -4.560100   0.026718   0.026641   -2.788116   -2.834864
30   0.015940    1.634948  0.142387  -4.462958  -4.504886   0.028043   0.027960   -2.703702   -2.750839
31   0.016438    1.639069  0.142962  -4.408387  -4.450479   0.029402   0.029313   -2.619718   -2.667252
32   0.016936    1.643243  0.143545  -4.354561  -4.396819   0.030797   0.030701   -2.536102   -2.584041
33   0.017434    1.647473  0.144136  -4.301427  -4.343853   0.032229   0.032126   -2.452797   -2.501149
34   0.017932    1.651757  0.144735  -4.248934  -4.291530   0.033698   0.033587   -2.369750   -2.418522
35   0.018430    1.656098  0.145343  -4.197036  -4.239806   0.035204   0.035085   -2.286912   -2.336113
36   0.018928    1.660495  0.145958  -4.145693  -4.188637   0.036748   0.036621   -2.204237   -2.253876
37   0.019426    1.664949  0.146582  -4.094863  -4.137985   0.038331   0.038196   -2.121684   -2.171769
38   0.019924    1.669462  0.147214  -4.044513  -4.087814   0.039954   0.039809   -2.039213   -2.089752
39   0.020422    1.674033  0.147855  -3.994608  -4.038091   0.041616   0.041463   -1.956788   -2.007791
40   0.020920    1.678665  0.148505  -3.945117  -3.988785   0.043320   0.043157   -1.874373   -1.925849
41   0.021418    1.683356  0.149163  -3.896011  -3.939866   0.045065   0.044891   -1.791936   -1.843895
