      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    2.818764  0.305671  -7.869999  -8.081821   0.001038   0.001037   -6.831947   -7.044961
1    0.001498    2.825103  0.306479  -7.446845  -7.659264   0.001584   0.001581   -6.389399   -6.603629
2    0.001996    2.831542  0.307300  -7.140659  -7.353684   0.002150   0.002145   -6.063521   -6.278991
3    0.002494    2.838083  0.308132  -6.898596  -7.112235   0.002736   0.002729   -5.801465   -6.018199
4    0.002992    2.844727  0.308976  -6.697072  -6.911333   0.003343   0.003332   -5.579646   -5.797669
5    0.003490    2.851476  0.309832  -6.523492  -6.738384   0.003972   0.003956   -5.385467   -5.604804
6    0.003988    2.858332  0.310701  -6.370333  -6.585863   0.004622   0.004601   -5.211401   -5.432077
7    0.004486    2.865296  0.311582  -6.232739  -6.448916   0.005294   0.005268   -5.052591   -5.274631
8    0.004984    2.872370  0.312475  -6.107393  -6.324225   0.005989   0.005956   -4.905717   -5.129148
9    0.005482    2.879557  0.313382  -5.991927  -6.209423   0.006707   0.006667   -4.768410   -4.993257
10   0.005980    2.886858  0.314301  -5.884595  -6.102762   0.007449   0.007401   -4.638919   -4.865209
11   0.006478    2.894275  0.315234  -5.784067  -6.002915   0.008215   0.008157   -4.515914   -4.743675
12   0.006976    2.901811  0.316180  -5.689311  -5.908849   0.009006   0.008938   -4.398359   -4.627618
13   0.007474    2.909468  0.317139  -5.599507  -5.819744   0.009821   0.009743   -4.285434   -4.516218
14   0.007972    2.917248  0.318113  -5.513997  -5.734940   0.010663   0.010572   -4.176475   -4.408812
15   0.008470    2.925154  0.319100  -5.432238  -5.653898   0.011530   0.011426   -4.070939   -4.304859
16   0.008968    2.933189  0.320102  -5.353783  -5.576169   0.012424   0.012306   -3.968376   -4.203907
17   0.009466    2.941352  0.321118  -5.278258  -5.501378   0.013346   0.013213   -3.868408   -4.105580
18   0.009964    2.949652  0.322149  -5.205343  -5.429207   0.014295   0.014145   -3.770714   -4.009558
19   0.010462    2.958088  0.323195  -5.134769  -5.359386   0.015272   0.015105   -3.675021   -3.915568
20   0.010960    2.966664  0.324257  -5.066300  -5.291681   0.016278   0.016093   -3.581091   -3.823373
21   0.011458    2.975383  0.325334  -4.999736  -5.225889   0.017313   0.017108   -3.488721   -3.732770
22   0.011956    2.984248  0.326427  -4.934899  -5.161835   0.018378   0.018152   -3.397730   -3.643578
23   0.012454    2.993264  0.327536  -4.871633  -5.099362   0.019474   0.019225   -3.307961   -3.555642
24   0.012952    3.002431  0.328662  -4.809802  -5.038334   0.020601   0.020328   -3.219273   -3.468821
25   0.013450    3.011756  0.329804  -4.749284  -4.978629   0.021759   0.021461   -3.131541   -3.382993
26   0.013948    3.021242  0.330964  -4.689971  -4.920140   0.022949   0.022625   -3.044655   -3.298045
27   0.014446    3.030893  0.332142  -4.631765  -4.862768   0.024172   0.023820   -2.958515   -3.213880
28   0.014944    3.040713  0.333337  -4.574579  -4.806427   0.025428   0.025046   -2.873029   -3.130408
29   0.015442    3.050706  0.334551  -4.518333  -4.751038   0.026718   0.026305   -2.788116   -3.047547
30   0.015940    3.060877  0.335783  -4.462958  -4.696530   0.028043   0.027597   -2.703702   -2.965224
31   0.016438    3.071230  0.337035  -4.408387  -4.642838   0.029402   0.028922   -2.619718   -2.883373
32   0.016936    3.081771  0.338306  -4.354561  -4.589903   0.030797   0.030281   -2.536102   -2.801931
33   0.017434    3.092505  0.339597  -4.301427  -4.537671   0.032229   0.031675   -2.452797   -2.720843
34   0.017932    3.103436  0.340909  -4.248934  -4.486093   0.033698   0.033103   -2.369750   -2.640057
35   0.018430    3.114570  0.342241  -4.197036  -4.435122   0.035204   0.034567   -2.286912   -2.559525
36   0.018928    3.125913  0.343595  -4.145693  -4.384718   0.036748   0.036068   -2.204237   -2.479203
37   0.019426    3.137471  0.344971  -4.094863  -4.334841   0.038331   0.037605   -2.121684   -2.399051
38   0.019924    3.149250  0.346369  -4.044513  -4.285455   0.039954   0.039179   -2.039213   -2.319030
39   0.020422    3.161256  0.347790  -3.994608  -4.236528   0.041616   0.040791   -1.956788   -2.239105
40   0.020920    3.173496  0.349235  -3.945117  -4.188029   0.043320   0.042442   -1.874373   -2.159244
41   0.021418    3.185976  0.350703  -3.896011  -4.139929   0.045065   0.044132   -1.791936   -2.079414
42   0.021916    3.198704  0.352196  -3.847262  -4.092201   0.046852   0.045862   -1.709447   -1.999588
43   0.022414    3.211687  0.353715  -3.798847  -4.044819   0.048683   0.047632   -1.626878   -1.919739
44   0.022912    3.224933  0.355259  -3.750740  -3.997762   0.050556   0.049442   -1.544200   -1.839840
45   0.023410    3.238452  0.356829  -3.702920  -3.951006   0.052474   0.051295   -1.461388   -1.759869
46   0.023908    3.252247  0.358427  -3.655365  -3.904531   0.054437   0.053189   -1.378418   -1.679802
47   0.024406    3.266329  0.360052  -3.608056  -3.858318   0.056446   0.055126   -1.295266   -1.599618
48   0.024904    3.280707  0.361705  -3.560975  -3.812349   0.058501   0.057106   -1.211910   -1.519298
49   0.025402    3.295390  0.363387  -3.514103  -3.766605   0.060603   0.059130   -1.128328   -1.438822
50   0.025900    3.310387  0.365099  -3.467425  -3.721072   0.062754   0.061199   -1.044501   -1.358173
51   0.026398    3.325708  0.366842  -3.420923  -3.675734   0.064953   0.063313   -0.960409   -1.277333
52   0.026896    3.341363  0.368615  -3.374584  -3.630575   0.067201   0.065473   -0.876033   -1.196286
53   0.027394    3.357362  0.370420  -3.328393  -3.585584   0.069500   0.067679   -0.791356   -1.115017
54   0.027892    3.373716  0.372258  -3.282337  -3.540745   0.071849   0.069932   -0.706359   -1.033512
55   0.028390    3.390436  0.374128  -3.236403  -3.496048   0.074251   0.072232   -0.621027   -0.951756
56   0.028888    3.407533  0.376033  -3.190579  -3.451481   0.076704   0.074581   -0.535343   -0.869737
57   0.029386    3.425019  0.377973  -3.144852  -3.407032   0.079212   0.076979   -0.449292   -0.787443
58   0.029884    3.442905  0.379947  -3.099213  -3.362690   0.081773   0.079427   -0.362858   -0.704861
59   0.030382    3.461204  0.381958  -3.053649  -3.318446   0.084390   0.081924   -0.276027   -0.621980
60   0.030880    3.479928  0.384006  -3.008152  -3.274290   0.087062   0.084472   -0.188785   -0.538790
61   0.031378    3.499090  0.386092  -2.962710  -3.230212   0.089791   0.087072   -0.101118   -0.455280
62   0.031876    3.518703  0.388215  -2.917316  -3.186205   0.092578   0.089723   -0.013012   -0.371441
63   0.032374    3.538781  0.390378  -2.871959  -3.142259   0.095423   0.092428    0.075546   -0.287264
64   0.032872    3.559338  0.392581  -2.826632  -3.098367   0.098327   0.095185    0.164568   -0.202740
65   0.033370    3.580386  0.394824  -2.781325  -3.054521   0.101291   0.097996    0.254067   -0.117861
66   0.033868    3.601940  0.397108  -2.736031  -3.010714   0.104316   0.100862    0.344056   -0.032619
67   0.034366    3.624012  0.399433  -2.690743  -2.966938   0.107404   0.103783    0.434545    0.052994
68   0.034864    3.646622  0.401801  -2.645451  -2.923188   0.110554   0.106760    0.525548    0.138984
69   0.035362    3.669781  0.404212  -2.600151  -2.879456   0.113768   0.109792    0.617075    0.225358
70   0.035860    3.693506  0.406666  -2.554833  -2.835736   0.117046   0.112882    0.709137    0.312123
71   0.036358    3.717811  0.409164  -2.509493  -2.792023   0.120390   0.116030    0.801747    0.399284
72   0.036856    3.742711  0.411707  -2.464122  -2.748311   0.123801   0.119235    0.894914    0.486847
73   0.037354    3.768221  0.414294  -2.418716  -2.704594   0.127279   0.122499    0.988650    0.574817
74   0.037852    3.794358  0.416926  -2.373267  -2.660867   0.130825   0.125823    1.082964    0.663199
75   0.038350    3.821137  0.419604  -2.327770  -2.617126   0.134441   0.129206    1.177868    0.751999
76   0.038848    3.848572  0.422327  -2.282219  -2.573365   0.138128   0.132650    1.273373    0.841219
77   0.039346    3.876683  0.425096  -2.236609  -2.529580   0.141885   0.136155    1.369486    0.930866
78   0.039844    3.905484  0.427912  -2.190933  -2.485766   0.145716   0.139721    1.466220    1.020942
79   0.040342    3.934990  0.430773  -2.145187  -2.441920   0.149619   0.143350    1.563584    1.111451
80   0.040840    3.965219  0.433681  -2.099366  -2.398036   0.153597   0.147042    1.661588    1.202397
81   0.041338    3.996188  0.436635  -2.053464  -2.354112   0.157651   0.150797    1.760241    1.293783
82   0.041836    4.027915  0.439635  -2.007477  -2.310142   0.161781   0.154616    1.859553    1.385611
83   0.042334    4.060415  0.442682  -1.961399  -2.266125   0.165989   0.158499    1.959534    1.477885
