      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    6.448746  0.606930  -7.869999  -8.826637   0.001038   0.001033   -6.831947   -7.793331
1    0.001498    6.472536  0.608111  -7.446845  -8.405862   0.001584   0.001573   -6.389399   -7.355619
2    0.001996    6.496736  0.609305  -7.140659  -8.102087   0.002150   0.002131   -6.063521   -7.034675
3    0.002494    6.521351  0.610512  -6.898596  -7.862466   0.002736   0.002706   -5.801465   -6.777649
4    0.002992    6.546388  0.611733  -6.697072  -7.663417   0.003343   0.003299   -5.579646   -6.560959
5    0.003490    6.571855  0.612968  -6.523492  -7.492345   0.003972   0.003910   -5.385467   -6.372007
6    0.003988    6.597758  0.614216  -6.370333  -7.341726   0.004622   0.004540   -5.211401   -6.203270
7    0.004486    6.624107  0.615477  -6.232739  -7.206706   0.005294   0.005189   -5.052591   -6.049889
8    0.004984    6.650907  0.616752  -6.107393  -7.083966   0.005989   0.005858   -4.905717   -5.908547
9    0.005482    6.678169  0.618041  -5.991927  -6.971141   0.006707   0.006547   -4.768410   -5.776875
10   0.005980    6.705898  0.619344  -5.884595  -6.866483   0.007449   0.007256   -4.638919   -5.653126
11   0.006478    6.734103  0.620660  -5.784067  -6.768664   0.008215   0.007985   -4.515914   -5.535968
12   0.006976    6.762794  0.621990  -5.689311  -6.676650   0.009006   0.008736   -4.398359   -5.424368
13   0.007474    6.791978  0.623334  -5.599507  -6.589625   0.009821   0.009508   -4.285434   -5.317507
14   0.007972    6.821666  0.624691  -5.513997  -6.506928   0.010663   0.010301   -4.176475   -5.214723
15   0.008470    6.851865  0.626062  -5.432238  -6.428018   0.011530   0.011117   -4.070939   -5.115474
16   0.008968    6.882588  0.627448  -5.353783  -6.352448   0.012424   0.011956   -3.968376   -5.019312
17   0.009466    6.913837  0.628847  -5.278258  -6.279843   0.013346   0.012817   -3.868408   -4.925859
18   0.009964    6.945629  0.630260  -5.205343  -6.209886   0.014295   0.013701   -3.770714   -4.834798
19   0.010462    6.977972  0.631687  -5.134769  -6.142306   0.015272   0.014610   -3.675021   -4.745857
20   0.010960    7.010876  0.633127  -5.066300  -6.076870   0.016278   0.015542   -3.581091   -4.658799
21   0.011458    7.044350  0.634582  -4.999736  -6.013375   0.017313   0.016499   -3.488721   -4.573423
22   0.011956    7.078406  0.636051  -4.934899  -5.951645   0.018378   0.017481   -3.397730   -4.489551
23   0.012454    7.113054  0.637533  -4.871633  -5.891526   0.019474   0.018488   -3.307961   -4.407026
24   0.012952    7.148306  0.639030  -4.809802  -5.832880   0.020601   0.019521   -3.219273   -4.325710
25   0.013450    7.184171  0.640540  -4.749284  -5.775587   0.021759   0.020580   -3.131541   -4.245481
26   0.013948    7.220663  0.642065  -4.689971  -5.719539   0.022949   0.021666   -3.044655   -4.166229
27   0.014446    7.257791  0.643603  -4.631765  -5.664638   0.024172   0.022778   -2.958515   -4.087857
28   0.014944    7.295568  0.645155  -4.574579  -5.610798   0.025428   0.023918   -2.873029   -4.010276
29   0.015442    7.334005  0.646721  -4.518333  -5.557940   0.026718   0.025086   -2.788116   -3.933406
30   0.015940    7.373117  0.648301  -4.462958  -5.505994   0.028043   0.026282   -2.703702   -3.857177
31   0.016438    7.412909  0.649894  -4.408387  -5.454895   0.029402   0.027507   -2.619718   -3.781520
