      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    1.197448  0.084173  -7.869999  -7.886634   0.001038   0.001038   -6.831947   -6.848688
1    0.001498    1.199082  0.084376  -7.446845  -7.463533   0.001584   0.001584   -6.389399   -6.406248
2    0.001996    1.200739  0.084581  -7.140659  -7.157401   0.002150   0.002150   -6.063521   -6.080479
3    0.002494    1.202420  0.084790  -6.898596  -6.915392   0.002736   0.002736   -5.801465   -5.818535
4    0.002992    1.204125  0.085002  -6.697072  -6.713923   0.003343   0.003342   -5.579646   -5.596829
5    0.003490    1.205853  0.085216  -6.523492  -6.540399   0.003972   0.003970   -5.385467   -5.402765
6    0.003988    1.207607  0.085435  -6.370333  -6.387296   0.004622   0.004620   -5.211401   -5.228816
7    0.004486    1.209384  0.085656  -6.232739  -6.249759   0.005294   0.005292   -5.052591   -5.070124
8    0.004984    1.211187  0.085880  -6.107393  -6.124470   0.005989   0.005986   -4.905717   -4.923370
9    0.005482    1.213015  0.086108  -5.991927  -6.009062   0.006707   0.006704   -4.768410   -4.786186
10   0.005980    1.214868  0.086340  -5.884595  -5.901788   0.007449   0.007445   -4.638919   -4.656819
11   0.006478    1.216748  0.086574  -5.784067  -5.801319   0.008215   0.008210   -4.515914   -4.533940
12   0.006976    1.218653  0.086813  -5.689311  -5.706623   0.009006   0.009000   -4.398359   -4.416514
13   0.007474    1.220585  0.087054  -5.599507  -5.616880   0.009821   0.009815   -4.285434   -4.303719
14   0.007972    1.222545  0.087300  -5.513997  -5.531430   0.010663   0.010655   -4.176475   -4.194892
15   0.008470    1.224531  0.087548  -5.432238  -5.449733   0.011530   0.011521   -4.070939   -4.089490
16   0.008968    1.226546  0.087801  -5.353783  -5.371341   0.012424   0.012414   -3.968376   -3.987062
17   0.009466    1.228588  0.088057  -5.278258  -5.295879   0.013346   0.013334   -3.868408   -3.887232
18   0.009964    1.230658  0.088317  -5.205343  -5.223028   0.014295   0.014282   -3.770714   -3.789678
19   0.010462    1.232758  0.088582  -5.134769  -5.152518   0.015272   0.015258   -3.675021   -3.694127
