       S2         alpha            B5       error       B5*    error*
90   0.90  2.896424e+01  15752.700993   79.083539  0.035662  0.000179
91   0.91  3.230139e+01  15651.040905   72.509771  0.037780  0.000175
92   0.92  3.647181e+01  15685.401387   69.652822  0.040560  0.000180
93   0.93  4.183265e+01  15635.719794   64.570474  0.043376  0.000179
94   0.94  4.897916e+01  15463.887917   58.048874  0.046542  0.000175
95   0.95  5.898275e+01  15484.321881   54.797390  0.050867  0.000180
96   0.96  7.398630e+01  15123.985636   48.940054  0.055005  0.000178
97   0.97  9.898979e+01  14704.444340   43.259235  0.060406  0.000178
98   0.98  1.489932e+02  13766.832510   37.664369  0.065647  0.000180
99   0.99  2.989966e+02  12261.036575   30.822536  0.071376  0.000179
100  1.00  1.000000e+14   6154.776719   18.423512  0.061303  0.000184
