      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    2.166972  0.217655  -7.869999  -7.977074   0.001038   0.001037   -6.831947   -6.939650
1    0.001498    2.171335  0.218269  -7.446845  -7.554235   0.001584   0.001583   -6.389399   -6.497742
2    0.001996    2.175754  0.218891  -7.140659  -7.248368   0.002150   0.002147   -6.063521   -6.172517
3    0.002494    2.180229  0.219520  -6.898596  -7.006628   0.002736   0.002732   -5.801465   -5.911127
4    0.002992    2.184762  0.220158  -6.697072  -6.805431   0.003343   0.003337   -5.579646   -5.689986
5    0.003490    2.189352  0.220803  -6.523492  -6.632183   0.003972   0.003964   -5.385467   -5.496498
6    0.003988    2.194004  0.221456  -6.370333  -6.479360   0.004622   0.004611   -5.211401   -5.323136
7    0.004486    2.198710  0.222117  -6.232739  -6.342107   0.005294   0.005280   -5.052591   -5.165044
8    0.004984    2.203475  0.222786  -6.107393  -6.217105   0.005989   0.005972   -4.905717   -5.018900
9    0.005482    2.208299  0.223463  -5.991927  -6.101989   0.006707   0.006686   -4.768410   -4.882338
10   0.005980    2.213184  0.224148  -5.884595  -5.995010   0.007449   0.007424   -4.638919   -4.753605
11   0.006478    2.218129  0.224842  -5.784067  -5.894839   0.008215   0.008185   -4.515914   -4.631372
12   0.006976    2.223134  0.225543  -5.689311  -5.800446   0.009006   0.008970   -4.398359   -4.514603
13   0.007474    2.228202  0.226253  -5.599507  -5.711009   0.009821   0.009780   -4.285434   -4.402478
14   0.007972    2.233332  0.226971  -5.513997  -5.625870   0.010663   0.010615   -4.176475   -4.294333
15   0.008470    2.238524  0.227698  -5.432238  -5.544488   0.011530   0.011476   -4.070939   -4.189626
16   0.008968    2.243781  0.228433  -5.353783  -5.466414   0.012424   0.012362   -3.968376   -4.087906
17   0.009466    2.249102  0.229177  -5.278258  -5.391274   0.013346   0.013276   -3.868408   -3.988796
18   0.009964    2.254488  0.229930  -5.205343  -5.318750   0.014295   0.014216   -3.770714   -3.891976
19   0.010462    2.259943  0.230691  -5.134769  -5.248570   0.015272   0.015185   -3.675021   -3.797172
20   0.010960    2.265461  0.231461  -5.066300  -5.180502   0.016278   0.016181   -3.581091   -3.704148
21   0.011458    2.271049  0.232241  -4.999736  -5.114342   0.017313   0.017206   -3.488721   -3.612698
22   0.011956    2.276705  0.233029  -4.934899  -5.049914   0.018378   0.018260   -3.397730   -3.522644
23   0.012454    2.282432  0.233827  -4.871633  -4.987064   0.019474   0.019344   -3.307961   -3.433828
24   0.012952    2.288230  0.234634  -4.809802  -4.925653   0.020601   0.020458   -3.219273   -3.346110
25   0.013450    2.294100  0.235451  -4.749284  -4.865560   0.021759   0.021603   -3.131541   -3.259366
26   0.013948    2.300043  0.236278  -4.689971  -4.806676   0.022949   0.022780   -3.044655   -3.173484
27   0.014446    2.306061  0.237114  -4.631765  -4.748906   0.024172   0.023988   -2.958515   -3.088366
28   0.014944    2.312155  0.237960  -4.574579  -4.692161   0.025428   0.025229   -2.873029   -3.003920
29   0.015442    2.318326  0.238816  -4.518333  -4.636362   0.026718   0.026503   -2.788116   -2.920066
30   0.015940    2.324576  0.239683  -4.462958  -4.581438   0.028043   0.027811   -2.703702   -2.836729
31   0.016438    2.330905  0.240560  -4.408387  -4.527324   0.029402   0.029152   -2.619718   -2.753842
32   0.016936    2.337316  0.241447  -4.354561  -4.473961   0.030797   0.030529   -2.536102   -2.671342
33   0.017434    2.343811  0.242346  -4.301427  -4.421296   0.032229   0.031941   -2.452797   -2.589174
34   0.017932    2.350389  0.243255  -4.248934  -4.369277   0.033698   0.033389   -2.369750   -2.507283
35   0.018430    2.357056  0.244176  -4.197036  -4.317860   0.035204   0.034874   -2.286912   -2.425622
36   0.018928    2.363811  0.245108  -4.145693  -4.267003   0.036748   0.036396   -2.204237   -2.344147
37   0.019426    2.370654  0.246052  -4.094863  -4.216666   0.038331   0.037956   -2.121684   -2.262814
38   0.019924    2.377593  0.247008  -4.044513  -4.166814   0.039954   0.039554   -2.039213   -2.181586
39   0.020422    2.384625  0.247975  -3.994608  -4.117414   0.041616   0.041191   -1.956788   -2.100426
40   0.020920    2.391754  0.248956  -3.945117  -4.068434   0.043320   0.042868   -1.874373   -2.019301
41   0.021418    2.398983  0.249949  -3.896011  -4.019845   0.045065   0.044585   -1.791936   -1.938178
42   0.021916    2.406313  0.250955  -3.847262  -3.971621   0.046852   0.046343   -1.709447   -1.857027
43   0.022414    2.413745  0.251973  -3.798847  -3.923737   0.048683   0.048143   -1.626878   -1.775821
44   0.022912    2.421286  0.253006  -3.750740  -3.876168   0.050556   0.049986   -1.544200   -1.694532
45   0.023410    2.428936  0.254053  -3.702920  -3.828892   0.052474   0.051871   -1.461388   -1.613137
46   0.023908    2.436699  0.255114  -3.655365  -3.781890   0.054437   0.053800   -1.378418   -1.531610
47   0.024406    2.444577  0.256189  -3.608056  -3.735140   0.056446   0.055773   -1.295266   -1.449929
48   0.024904    2.452574  0.257279  -3.560975  -3.688625   0.058501   0.057791   -1.211910   -1.368073
49   0.025402    2.460694  0.258385  -3.514103  -3.642327   0.060603   0.059855   -1.128328   -1.286022
50   0.025900    2.468939  0.259507  -3.467425  -3.596230   0.062754   0.061965   -1.044501   -1.203756
51   0.026398    2.477314  0.260645  -3.420923  -3.550318   0.064953   0.064122   -0.960409   -1.121256
52   0.026896    2.485823  0.261799  -3.374584  -3.504577   0.067201   0.066327   -0.876033   -1.038505
53   0.027394    2.494469  0.262971  -3.328393  -3.458991   0.069500   0.068581   -0.791356   -0.955486
54   0.027892    2.503258  0.264160  -3.282337  -3.413549   0.071849   0.070884   -0.706359   -0.872182
55   0.028390    2.512193  0.265367  -3.236403  -3.368237   0.074251   0.073237   -0.621027   -0.788579
56   0.028888    2.521280  0.266593  -3.190579  -3.323044   0.076704   0.075640   -0.535343   -0.704660
57   0.029386    2.530523  0.267839  -3.144852  -3.277957   0.079212   0.078095   -0.449292   -0.620412
58   0.029884    2.539928  0.269104  -3.099213  -3.232966   0.081773   0.080601   -0.362858   -0.535821
59   0.030382    2.549499  0.270390  -3.053649  -3.188061   0.084390   0.083161   -0.276027   -0.450873
60   0.030880    2.559246  0.271697  -3.008152  -3.143231   0.087062   0.085775   -0.188785   -0.365555
61   0.031378    2.569174  0.273026  -2.962710  -3.098467   0.089791   0.088442   -0.101118   -0.279857
62   0.031876    2.579287  0.274378  -2.917316  -3.053759   0.092578   0.091165   -0.013012   -0.193764
63   0.032374    2.589594  0.275754  -2.871959  -3.009100   0.095423   0.093944    0.075546   -0.107266
64   0.032872    2.600101  0.277153  -2.826632  -2.964480   0.098327   0.096779    0.164568   -0.020352
