      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    4.831418  0.507506  -7.869999  -8.491207   0.001038   0.001035   -6.831947   -7.456448
1    0.001498    4.847539  0.508720  -7.446845  -8.069703   0.001584   0.001577   -6.389399   -7.017260
2    0.001996    4.863937  0.509950  -7.140659  -7.765192   0.002150   0.002136   -6.063521   -6.694812
3    0.002494    4.880619  0.511195  -6.898596  -7.524827   0.002736   0.002715   -5.801465   -6.436257
4    0.002992    4.897588  0.512456  -6.697072  -7.325024   0.003343   0.003312   -5.579646   -6.218010
5    0.003490    4.914848  0.513733  -6.523492  -7.153189   0.003972   0.003929   -5.385467   -6.027476
6    0.003988    4.932406  0.515026  -6.370333  -7.001799   0.004622   0.004565   -5.211401   -5.857128
7    0.004486    4.950266  0.516334  -6.232739  -6.865998   0.005294   0.005221   -5.052591   -5.702110
8    0.004984    4.968432  0.517659  -6.107393  -6.742469   0.005989   0.005898   -4.905717   -5.559103
9    0.005482    4.986911  0.519000  -5.991927  -6.628845   0.006707   0.006595   -4.768410   -5.425740
10   0.005980    5.005708  0.520357  -5.884595  -6.523380   0.007449   0.007314   -4.638919   -5.300270
11   0.006478    5.024828  0.521730  -5.784067  -6.424743   0.008215   0.008055   -4.515914   -5.181365
12   0.006976    5.044277  0.523120  -5.689311  -6.331905   0.009006   0.008817   -4.398359   -5.067990
13   0.007474    5.064062  0.524526  -5.599507  -6.244044   0.009821   0.009602   -4.285434   -4.959324
14   0.007972    5.084188  0.525949  -5.513997  -6.160502   0.010663   0.010410   -4.176475   -4.854707
15   0.008470    5.104662  0.527388  -5.432238  -6.080739   0.011530   0.011241   -4.070939   -4.753597
16   0.008968    5.125490  0.528845  -5.353783  -6.004306   0.012424   0.012096   -3.968376   -4.655544
17   0.009466    5.146682  0.530318  -5.278258  -5.930829   0.013346   0.012975   -3.868408   -4.560172
18   0.009964    5.168241  0.531809  -5.205343  -5.859990   0.014295   0.013878   -3.770714   -4.467162
19   0.010462    5.190175  0.533316  -5.134769  -5.791518   0.015272   0.014807   -3.675021   -4.376241
20   0.010960    5.212494  0.534841  -5.066300  -5.725181   0.016278   0.015761   -3.581091   -4.287175
21   0.011458    5.235204  0.536384  -4.999736  -5.660775   0.017313   0.016740   -3.488721   -4.199760
22   0.011956    5.258313  0.537944  -4.934899  -5.598125   0.018378   0.017746   -3.397730   -4.113819
23   0.012454    5.281831  0.539521  -4.871633  -5.537076   0.019474   0.018779   -3.307961   -4.029194
24   0.012952    5.305764  0.541117  -4.809802  -5.477491   0.020601   0.019839   -3.219273   -3.945747
25   0.013450    5.330124  0.542731  -4.749284  -5.419248   0.021759   0.020927   -3.131541   -3.863356
26   0.013948    5.354919  0.544363  -4.689971  -5.362240   0.022949   0.022042   -3.044655   -3.781912
27   0.014446    5.380158  0.546013  -4.631765  -5.306369   0.024172   0.023187   -2.958515   -3.701315
28   0.014944    5.405852  0.547682  -4.574579  -5.251550   0.025428   0.024360   -2.873029   -3.621479
29   0.015442    5.432011  0.549369  -4.518333  -5.197702   0.026718   0.025562   -2.788116   -3.542321
30   0.015940    5.458647  0.551075  -4.462958  -5.144756   0.028043   0.026795   -2.703702   -3.463772
31   0.016438    5.485769  0.552800  -4.408387  -5.092646   0.029402   0.028058   -2.619718   -3.385763
32   0.016936    5.513386  0.554545  -4.354561  -5.041315   0.030797   0.029351   -2.536102   -3.308236
33   0.017434    5.541518  0.556309  -4.301427  -4.990708   0.032229   0.030676   -2.452797   -3.231136
34   0.017932    5.570173  0.558092  -4.248934  -4.940775   0.033698   0.032033   -2.369750   -3.154411
35   0.018430    5.599364  0.559895  -4.197036  -4.891473   0.035204   0.033422   -2.286912   -3.078015
36   0.018928    5.629106  0.561719  -4.145693  -4.842759   0.036748   0.034844   -2.204237   -3.001907
37   0.019426    5.659411  0.563562  -4.094863  -4.794594   0.038331   0.036298   -2.121684   -2.926045
38   0.019924    5.690294  0.565426  -4.044513  -4.746944   0.039954   0.037787   -2.039213   -2.850394
39   0.020422    5.721770  0.567310  -3.994608  -4.699775   0.041616   0.039309   -1.956788   -2.774919
40   0.020920    5.753855  0.569216  -3.945117  -4.653057   0.043320   0.040867   -1.874373   -2.699588
41   0.021418    5.786566  0.571142  -3.896011  -4.606761   0.045065   0.042459   -1.791936   -2.624374
42   0.021916    5.819918  0.573090  -3.847262  -4.560862   0.046852   0.044087   -1.709447   -2.549246
43   0.022414    5.853931  0.575059  -3.798847  -4.515333   0.048683   0.045750   -1.626878   -2.474182
44   0.022912    5.888621  0.577051  -3.750740  -4.470152   0.050556   0.047451   -1.544200   -2.399155
45   0.023410    5.924008  0.579064  -3.702920  -4.425298   0.052474   0.049188   -1.461388   -2.324144
46   0.023908    5.960111  0.581099  -3.655365  -4.380750   0.054437   0.050963   -1.378418   -2.249128
47   0.024406    5.996950  0.583158  -3.608056  -4.336489   0.056446   0.052776   -1.295266   -2.174087
48   0.024904    6.034547  0.585239  -3.560975  -4.292498   0.058501   0.054627   -1.211910   -2.099002
49   0.025402    6.072924  0.587343  -3.514103  -4.248758   0.060603   0.056517   -1.128328   -2.023857
50   0.025900    6.112102  0.589470  -3.467425  -4.205255   0.062754   0.058447   -1.044501   -1.948634
51   0.026398    6.152106  0.591621  -3.420923  -4.161974   0.064953   0.060416   -0.960409   -1.873318
52   0.026896    6.192959  0.593796  -3.374584  -4.118899   0.067201   0.062426   -0.876033   -1.797895
53   0.027394    6.234686  0.595995  -3.328393  -4.076019   0.069500   0.064476   -0.791356   -1.722350
54   0.027892    6.277314  0.598218  -3.282337  -4.033320   0.071849   0.066568   -0.706359   -1.646672
55   0.028390    6.320868  0.600466  -3.236403  -3.990790   0.074251   0.068702   -0.621027   -1.570848
56   0.028888    6.365376  0.602739  -3.190579  -3.948418   0.076704   0.070878   -0.535343   -1.494866
57   0.029386    6.410867  0.605036  -3.144852  -3.906193   0.079212   0.073097   -0.449292   -1.418717
58   0.029884    6.457368  0.607359  -3.099213  -3.864105   0.081773   0.075359   -0.362858   -1.342388
59   0.030382    6.504910  0.609707  -3.053649  -3.822144   0.084390   0.077665   -0.276027   -1.265872
60   0.030880    6.553523  0.612080  -3.008152  -3.780301   0.087062   0.080014   -0.188785   -1.189158
61   0.031378    6.603237  0.614479  -2.962710  -3.738567   0.089791   0.082409   -0.101118   -1.112239
62   0.031876    6.654086  0.616903  -2.917316  -3.696933   0.092578   0.084848   -0.013012   -1.035106
63   0.032374    6.706098  0.619353  -2.871959  -3.655392   0.095423   0.087333    0.075546   -0.957752
64   0.032872    6.759307  0.621829  -2.826632  -3.613937   0.098327   0.089864    0.164568   -0.880170
