      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    3.167494  0.348527  -7.869999  -8.147256   0.001038   0.001037   -6.831947   -7.110742
1    0.001498    3.175305  0.349448  -7.446845  -7.724873   0.001584   0.001581   -6.389399   -6.669761
2    0.001996    3.183250  0.350383  -7.140659  -7.419468   0.002150   0.002144   -6.063521   -6.345483
3    0.002494    3.191331  0.351332  -6.898596  -7.178197   0.002736   0.002726   -5.801465   -6.085060
4    0.002992    3.199550  0.352295  -6.697072  -6.977476   0.003343   0.003329   -5.579646   -5.864906
5    0.003490    3.207910  0.353273  -6.523492  -6.804710   0.003972   0.003952   -5.385467   -5.672425
6    0.003988    3.216413  0.354266  -6.370333  -6.652375   0.004622   0.004595   -5.211401   -5.500091
7    0.004486    3.225061  0.355274  -6.232739  -6.515617   0.005294   0.005260   -5.052591   -5.343046
8    0.004984    3.233858  0.356296  -6.107393  -6.391117   0.005989   0.005947   -4.905717   -5.197972
9    0.005482    3.242806  0.357334  -5.991927  -6.276510   0.006707   0.006655   -4.768410   -5.062501
10   0.005980    3.251912  0.358388  -5.884595  -6.170047   0.007449   0.007386   -4.638919   -4.934881
11   0.006478    3.261172  0.359457  -5.784067  -6.070400   0.008215   0.008140   -4.515914   -4.813783
12   0.006976    3.270592  0.360543  -5.689311  -5.976537   0.009006   0.008918   -4.398359   -4.698173
13   0.007474    3.280175  0.361644  -5.599507  -5.887638   0.009821   0.009719   -4.285434   -4.587229
14   0.007972    3.289925  0.362762  -5.513997  -5.803044   0.010663   0.010545   -4.176475   -4.480290
15   0.008470    3.299846  0.363897  -5.432238  -5.722213   0.011530   0.011396   -4.070939   -4.376812
16   0.008968    3.309940  0.365049  -5.353783  -5.644700   0.012424   0.012271   -3.968376   -4.276347
17   0.009466    3.320213  0.366218  -5.278258  -5.570127   0.013346   0.013173   -3.868408   -4.178518
18   0.009964    3.330666  0.367404  -5.205343  -5.498179   0.014295   0.014101   -3.770714   -4.083003
19   0.010462    3.341305  0.368609  -5.134769  -5.428583   0.015272   0.015055   -3.675021   -3.989532
20   0.010960    3.352134  0.369831  -5.066300  -5.361107   0.016278   0.016037   -3.581091   -3.897868
21   0.011458    3.363156  0.371072  -4.999736  -5.295547   0.017313   0.017047   -3.488721   -3.807806
22   0.011956    3.374376  0.372332  -4.934899  -5.231728   0.018378   0.018084   -3.397730   -3.719169
23   0.012454    3.385800  0.373610  -4.871633  -5.169494   0.019474   0.019150   -3.307961   -3.631798
24   0.012952    3.397430  0.374909  -4.809802  -5.108709   0.020601   0.020246   -3.219273   -3.545557
25   0.013450    3.409273  0.376227  -4.749284  -5.049251   0.021759   0.021371   -3.131541   -3.460320
26   0.013948    3.421333  0.377564  -4.689971  -4.991011   0.022949   0.022526   -3.044655   -3.375977
