      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    4.365950  0.470028  -7.869999  -8.393423   0.001038   0.001035   -6.831947   -7.358186
1    0.001498    4.379734  0.471208  -7.446845  -7.971680   0.001584   0.001578   -6.389399   -6.918510
2    0.001996    4.393759  0.472404  -7.140659  -7.666926   0.002150   0.002138   -6.063521   -6.595565
3    0.002494    4.408028  0.473616  -6.898596  -7.426314   0.002736   0.002718   -5.801465   -6.336504
4    0.002992    4.422545  0.474845  -6.697072  -7.226262   0.003343   0.003317   -5.579646   -6.117741
5    0.003490    4.437315  0.476090  -6.523492  -7.054175   0.003972   0.003935   -5.385467   -5.926680
6    0.003988    4.452340  0.477351  -6.370333  -6.902529   0.004622   0.004573   -5.211401   -5.755796
7    0.004486    4.467626  0.478629  -6.232739  -6.766469   0.005294   0.005232   -5.052591   -5.600232
8    0.004984    4.483177  0.479923  -6.107393  -6.642677   0.005989   0.005911   -4.905717   -5.456670
9    0.005482    4.498997  0.481234  -5.991927  -6.528788   0.006707   0.006612   -4.768410   -5.322740
10   0.005980    4.515090  0.482562  -5.884595  -6.423053   0.007449   0.007334   -4.638919   -5.196695
11   0.006478    4.531462  0.483907  -5.784067  -6.324145   0.008215   0.008078   -4.515914   -5.077203
12   0.006976    4.548120  0.485269  -5.689311  -6.231030   0.009006   0.008844   -4.398359   -4.963231
13   0.007474    4.565064  0.486648  -5.599507  -6.142891   0.009821   0.009633   -4.285434   -4.853959
14   0.007972    4.582301  0.488044  -5.513997  -6.059067   0.010663   0.010446   -4.176475   -4.748724
15   0.008470    4.599836  0.489458  -5.432238  -5.979017   0.011530   0.011282   -4.070939   -4.646986
16   0.008968    4.617675  0.490889  -5.353783  -5.902295   0.012424   0.012143   -3.968376   -4.548294
17   0.009466    4.635824  0.492338  -5.278258  -5.828525   0.013346   0.013028   -3.868408   -4.452272
18   0.009964    4.654291  0.493805  -5.205343  -5.757390   0.014295   0.013938   -3.770714   -4.358601
19   0.010462    4.673076  0.495290  -5.134769  -5.688619   0.015272   0.014873   -3.675021   -4.267009
20   0.010960    4.692189  0.496793  -5.066300  -5.621978   0.016278   0.015834   -3.581091   -4.177260
21   0.011458    4.711636  0.498314  -4.999736  -5.557266   0.017313   0.016822   -3.488721   -4.089151
22   0.011956    4.731424  0.499853  -4.934899  -5.494306   0.018378   0.017836   -3.397730   -4.002504
23   0.012454    4.751559  0.501411  -4.871633  -5.432943   0.019474   0.018878   -3.307961   -3.917162
24   0.012952    4.772049  0.502987  -4.809802  -5.373040   0.020601   0.019947   -3.219273   -3.832987
25   0.013450    4.792898  0.504582  -4.749284  -5.314476   0.021759   0.021044   -3.131541   -3.749856
26   0.013948    4.814116  0.506196  -4.689971  -5.257142   0.022949   0.022170   -3.044655   -3.667659
27   0.014446    4.835710  0.507830  -4.631765  -5.200943   0.024172   0.023325   -2.958515   -3.586298
28   0.014944    4.857688  0.509482  -4.574579  -5.145791   0.025428   0.024510   -2.873029   -3.505684
29   0.015442    4.880058  0.511153  -4.518333  -5.091607   0.026718   0.025724   -2.788116   -3.425738
30   0.015940    4.902829  0.512845  -4.462958  -5.038321   0.028043   0.026969   -2.703702   -3.346387
31   0.016438    4.926009  0.514556  -4.408387  -4.985867   0.029402   0.028245   -2.619718   -3.267564
32   0.016936    4.949608  0.516286  -4.354561  -4.934188   0.030797   0.029553   -2.536102   -3.189210
33   0.017434    4.973634  0.518037  -4.301427  -4.883228   0.032229   0.030892   -2.452797   -3.111268
34   0.017932    4.998098  0.519808  -4.248934  -4.832940   0.033698   0.032264   -2.369750   -3.033690
35   0.018430    5.023010  0.521600  -4.197036  -4.783278   0.035204   0.033669   -2.286912   -2.956427
36   0.018928    5.048380  0.523412  -4.145693  -4.734200   0.036748   0.035107   -2.204237   -2.879437
37   0.019426    5.074218  0.525245  -4.094863  -4.685667   0.038331   0.036579   -2.121684   -2.802680
38   0.019924    5.100538  0.527099  -4.044513  -4.637645   0.039954   0.038085   -2.039213   -2.726120
39   0.020422    5.127350  0.528974  -3.994608  -4.590100   0.041616   0.039626   -1.956788   -2.649721
40   0.020920    5.154666  0.530871  -3.945117  -4.543001   0.043320   0.041203   -1.874373   -2.573453
41   0.021418    5.182500  0.532790  -3.896011  -4.496320   0.045065   0.042815   -1.791936   -2.497284
42   0.021916    5.210864  0.534730  -3.847262  -4.450031   0.046852   0.044464   -1.709447   -2.421189
43   0.022414    5.239773  0.536693  -3.798847  -4.404109   0.048683   0.046150   -1.626878   -2.345140
44   0.022912    5.269241  0.538678  -3.750740  -4.358530   0.050556   0.047873   -1.544200   -2.269114
45   0.023410    5.299283  0.540686  -3.702920  -4.313274   0.052474   0.049634   -1.461388   -2.193088
46   0.023908    5.329915  0.542717  -3.655365  -4.268319   0.054437   0.051433   -1.378418   -2.117039
47   0.024406    5.361154  0.544771  -3.608056  -4.223646   0.056446   0.053271   -1.295266   -2.040950
48   0.024904    5.393016  0.546849  -3.560975  -4.179238   0.058501   0.055148   -1.211910   -1.964800
49   0.025402    5.425519  0.548951  -3.514103  -4.135077   0.060603   0.057066   -1.128328   -1.888571
50   0.025900    5.458683  0.551077  -3.467425  -4.091148   0.062754   0.059024   -1.044501   -1.812248
51   0.026398    5.492526  0.553228  -3.420923  -4.047436   0.064953   0.061022   -0.960409   -1.735814
52   0.026896    5.527065  0.555404  -3.374584  -4.003926   0.067201   0.063062   -0.876033   -1.659255
53   0.027394    5.562330  0.557605  -3.328393  -3.960605   0.069500   0.065144   -0.791356   -1.582556
54   0.027892    5.598338  0.559832  -3.282337  -3.917460   0.071849   0.067269   -0.706359   -1.505704
55   0.028390    5.635115  0.562085  -3.236403  -3.874479   0.074251   0.069436   -0.621027   -1.428688
56   0.028888    5.672682  0.564365  -3.190579  -3.831651   0.076704   0.071647   -0.535343   -1.351494
57   0.029386    5.711067  0.566671  -3.144852  -3.788965   0.079212   0.073901   -0.449292   -1.274113
58   0.029884    5.750295  0.569005  -3.099213  -3.746410   0.081773   0.076200   -0.362858   -1.196534
59   0.030382    5.790395  0.571367  -3.053649  -3.703977   0.084390   0.078544   -0.276027   -1.118747
60   0.030880    5.831395  0.573756  -3.008152  -3.661656   0.087062   0.080934   -0.188785   -1.040742
61   0.031378    5.873327  0.576175  -2.962710  -3.619439   0.089791   0.083369   -0.101118   -0.962512
62   0.031876    5.916223  0.578623  -2.917316  -3.577318   0.092578   0.085851   -0.013012   -0.884048
63   0.032374    5.960114  0.581100  -2.871959  -3.535283   0.095423   0.088379    0.075546   -0.805343
64   0.032872    6.005036  0.583607  -2.826632  -3.493327   0.098327   0.090955    0.164568   -0.726389
65   0.033370    6.051023  0.586144  -2.781325  -3.451444   0.101291   0.093578    0.254067   -0.647180
66   0.033868    6.098115  0.588713  -2.736031  -3.409626   0.104316   0.096250    0.344056   -0.567711
67   0.034366    6.146349  0.591313  -2.690743  -3.367866   0.107404   0.098970    0.434545   -0.487975
68   0.034864    6.195766  0.593945  -2.645451  -3.326158   0.110554   0.101740    0.525548   -0.407967
69   0.035362    6.246407  0.596609  -2.600151  -3.284497   0.113768   0.104559    0.617075   -0.327682
70   0.035860    6.298316  0.599305  -2.554833  -3.242875   0.117046   0.107428    0.709137   -0.247117
71   0.036358    6.351536  0.602035  -2.509493  -3.201289   0.120390   0.110347    0.801747   -0.166266
72   0.036856    6.406113  0.604797  -2.464122  -3.159731   0.123801   0.113318    0.894914   -0.085128
73   0.037354    6.462094  0.607593  -2.418716  -3.118199   0.127279   0.116339    0.988650   -0.003698
74   0.037852    6.519525  0.610423  -2.373267  -3.076685   0.130825   0.119412    1.082964    0.078027
75   0.038350    6.578457  0.613287  -2.327770  -3.035187   0.134441   0.122537    1.177868    0.160049
76   0.038848    6.638939  0.616184  -2.282219  -2.993699   0.138128   0.125715    1.273373    0.242369
77   0.039346    6.701016  0.619115  -2.236609  -2.952218   0.141885   0.128945    1.369486    0.324991
78   0.039844    6.764742  0.622080  -2.190933  -2.910739   0.145716   0.132229    1.466220    0.407916
79   0.040342    6.830165  0.625078  -2.145187  -2.869259   0.149619   0.135565    1.563584    0.491146
80   0.040840    6.897332  0.628109  -2.099366  -2.827773   0.153597   0.138956    1.661588    0.574682
81   0.041338    6.966292  0.631172  -2.053464  -2.786279   0.157651   0.142401    1.760241    0.658525
82   0.041836    7.037090  0.634268  -2.007477  -2.744773   0.161781   0.145901    1.859553    0.742677
83   0.042334    7.109767  0.637393  -1.961399  -2.703251   0.165989   0.149456    1.959534    0.827138
84   0.042832    7.184371  0.640549  -1.915226  -2.661712   0.170275   0.153065    2.060193    0.911911
85   0.043330    7.260933  0.643733  -1.868954  -2.620151   0.174641   0.156731    2.161540    0.996997
86   0.043828    7.339490  0.646943  -1.822578  -2.578566   0.179088   0.160453    2.263583    1.082397
87   0.044326    7.420066  0.650179  -1.776094  -2.536954   0.183617   0.164231    2.366333    1.168114
88   0.044824    7.502688  0.653438  -1.729497  -2.495312   0.188229   0.168066    2.469798    1.254150
89   0.045322    7.587378  0.656718  -1.682783  -2.453639   0.192925   0.171958    2.573987    1.340507
90   0.045820    7.674141  0.660017  -1.635949  -2.411931   0.197707   0.175908    2.678910    1.427189
91   0.046318    7.762985  0.663332  -1.588989  -2.370186   0.202575   0.179917    2.784575    1.514199
92   0.046816    7.853907  0.666659  -1.541900  -2.328402   0.207530   0.183984    2.890992    1.601541
93   0.047314    7.946899  0.669998  -1.494679  -2.286577   0.212575   0.188111    2.998169    1.689221
94   0.047812    8.041942  0.673343  -1.447321  -2.244708   0.217709   0.192298    3.106116    1.777245
95   0.048310    8.139013  0.676692  -1.399822  -2.202792   0.222934   0.196545    3.214841    1.865617
96   0.048808    8.238080  0.680042  -1.352180  -2.160829   0.228252   0.200853    3.324354    1.954346
97   0.049306    8.339104  0.683389  -1.304390  -2.118815   0.233664   0.205224    3.434662    2.043438
98   0.049804    8.442042  0.686730  -1.256448  -2.076749   0.239170   0.209657    3.545775    2.132902
99   0.050302    8.546844  0.690062  -1.208352  -2.034628   0.244772   0.214155    3.657702    2.222747
100  0.050800    8.653453  0.693380  -1.160097  -1.992451   0.250472   0.218716    3.770452    2.312983
101  0.051298    8.761814  0.696683  -1.111681  -1.950214   0.256270   0.223343    3.884032    2.403618
102  0.051796    8.871863  0.699967  -1.063099  -1.907916   0.262168   0.228036    3.998453    2.494664
103  0.052294    8.983537  0.703229  -1.014350  -1.865555   0.268167   0.232796    4.113722    2.586131
104  0.052792    9.096769  0.706466  -0.965428  -1.823128   0.274269   0.237625    4.229848    2.678030
105  0.053290    9.211505  0.709676  -0.916332  -1.780633   0.280474   0.242523    4.346840    2.770372
106  0.053788    9.327670  0.712857  -0.867057  -1.738068   0.286785   0.247491    4.464707    2.863169
107  0.054286    9.445211  0.716006  -0.817602  -1.695431   0.293202   0.252531    4.583458    2.956431
108  0.054784    9.564057  0.719123  -0.767962  -1.652718   0.299727   0.257643    4.703101    3.050171
109  0.055282    9.684161  0.722205  -0.718134  -1.609929   0.306361   0.262829    4.823644    3.144400
