      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    2.487070  0.261968  -7.869999  -8.025045   0.001038   0.001037   -6.831947   -6.987884
1    0.001498    2.492278  0.262674  -7.446845  -7.602337   0.001584   0.001582   -6.389399   -6.546243
2    0.001996    2.497560  0.263389  -7.140659  -7.296603   0.002150   0.002146   -6.063521   -6.221291
3    0.002494    2.502916  0.264114  -6.898596  -7.054999   0.002736   0.002730   -5.801465   -5.960180
4    0.002992    2.508348  0.264848  -6.697072  -6.853939   0.003343   0.003335   -5.579646   -5.739322
5    0.003490    2.513853  0.265591  -6.523492  -6.680830   0.003972   0.003960   -5.385467   -5.546123
6    0.003988    2.519439  0.266345  -6.370333  -6.528148   0.004622   0.004607   -5.211401   -5.373056
7    0.004486    2.525102  0.267109  -6.232739  -6.391036   0.005294   0.005275   -5.052591   -5.215263
8    0.004984    2.530842  0.267882  -6.107393  -6.266179   0.005989   0.005965   -4.905717   -5.069425
9    0.005482    2.536665  0.268666  -5.991927  -6.151208   0.006707   0.006677   -4.768410   -4.933172
10   0.005980    2.542570  0.269459  -5.884595  -6.044377   0.007449   0.007413   -4.638919   -4.804756
11   0.006478    2.548556  0.270263  -5.784067  -5.944356   0.008215   0.008172   -4.515914   -4.682845
12   0.006976    2.554626  0.271078  -5.689311  -5.850114   0.009006   0.008955   -4.398359   -4.566404
13   0.007474    2.560782  0.271903  -5.599507  -5.760831   0.009821   0.009763   -4.285434   -4.454612
14   0.007972    2.567024  0.272739  -5.513997  -5.675846   0.010663   0.010595   -4.176475   -4.346807
15   0.008470    2.573354  0.273585  -5.432238  -5.594621   0.011530   0.011453   -4.070939   -4.242446
16   0.008968    2.579774  0.274443  -5.353783  -5.516706   0.012424   0.012337   -3.968376   -4.141079
17   0.009466    2.586285  0.275312  -5.278258  -5.441727   0.013346   0.013247   -3.868408   -4.042327
18   0.009964    2.592888  0.276193  -5.205343  -5.369366   0.014295   0.014184   -3.770714   -3.945872
19   0.010462    2.599587  0.277085  -5.134769  -5.299351   0.015272   0.015148   -3.675021   -3.851439
20   0.010960    2.606381  0.277988  -5.066300  -5.231450   0.016278   0.016140   -3.581091   -3.758793
21   0.011458    2.613274  0.278904  -4.999736  -5.165459   0.017313   0.017161   -3.488721   -3.667729
22   0.011956    2.620268  0.279832  -4.934899  -5.101203   0.018378   0.018211   -3.397730   -3.578067
23   0.012454    2.627363  0.280772  -4.871633  -5.038525   0.019474   0.019290   -3.307961   -3.489651
24   0.012952    2.634563  0.281725  -4.809802  -4.977290   0.020601   0.020399   -3.219273   -3.402340
25   0.013450    2.641870  0.282691  -4.749284  -4.917374   0.021759   0.021538   -3.131541   -3.316010
26   0.013948    2.649286  0.283670  -4.689971  -4.858671   0.022949   0.022709   -3.044655   -3.230551
27   0.014446    2.656814  0.284663  -4.631765  -4.801083   0.024172   0.023911   -2.958515   -3.145864
28   0.014944    2.664456  0.285669  -4.574579  -4.744522   0.025428   0.025146   -2.873029   -3.061857
29   0.015442    2.672215  0.286689  -4.518333  -4.688910   0.026718   0.026413   -2.788116   -2.978450
30   0.015940    2.680093  0.287723  -4.462958  -4.634176   0.028043   0.027713   -2.703702   -2.895569
31   0.016438    2.688094  0.288771  -4.408387  -4.580254   0.029402   0.029048   -2.619718   -2.813147
32   0.016936    2.696220  0.289835  -4.354561  -4.527086   0.030797   0.030416   -2.536102   -2.731122
33   0.017434    2.704477  0.290914  -4.301427  -4.474617   0.032229   0.031820   -2.452797   -2.649437
34   0.017932    2.712865  0.292008  -4.248934  -4.422798   0.033698   0.033260   -2.369750   -2.568040
35   0.018430    2.721389  0.293119  -4.197036  -4.371583   0.035204   0.034735   -2.286912   -2.486883
36   0.018928    2.730053  0.294245  -4.145693  -4.320931   0.036748   0.036247   -2.204237   -2.405921
37   0.019426    2.738860  0.295389  -4.094863  -4.270802   0.038331   0.037797   -2.121684   -2.325114
38   0.019924    2.747814  0.296549  -4.044513  -4.221161   0.039954   0.039385   -2.039213   -2.244422
39   0.020422    2.756920  0.297727  -3.994608  -4.171974   0.041616   0.041011   -1.956788   -2.163810
40   0.020920    2.766181  0.298923  -3.945117  -4.123211   0.043320   0.042676   -1.874373   -2.083245
41   0.021418    2.775604  0.300137  -3.896011  -4.074842   0.045065   0.044381   -1.791936   -2.002694
42   0.021916    2.785191  0.301371  -3.847262  -4.026841   0.046852   0.046127   -1.709447   -1.922129
43   0.022414    2.794950  0.302624  -3.798847  -3.979183   0.048683   0.047914   -1.626878   -1.841521
44   0.022912    2.804884  0.303897  -3.750740  -3.931843   0.050556   0.049742   -1.544200   -1.760846
45   0.023410    2.814999  0.305190  -3.702920  -3.884801   0.052474   0.051613   -1.461388   -1.680077
46   0.023908    2.825302  0.306505  -3.655365  -3.838035   0.054437   0.053526   -1.378418   -1.599192
47   0.024406    2.835797  0.307841  -3.608056  -3.791525   0.056446   0.055484   -1.295266   -1.518169
48   0.024904    2.846492  0.309200  -3.560975  -3.745254   0.058501   0.057485   -1.211910   -1.436988
49   0.025402    2.857393  0.310582  -3.514103  -3.699204   0.060603   0.059532   -1.128328   -1.355627
50   0.025900    2.868507  0.311988  -3.467425  -3.653358   0.062754   0.061624   -1.044501   -1.274070
51   0.026398    2.879842  0.313418  -3.420923  -3.607702   0.064953   0.063762   -0.960409   -1.192297
52   0.026896    2.891404  0.314873  -3.374584  -3.562220   0.067201   0.065947   -0.876033   -1.110292
53   0.027394    2.903203  0.316354  -3.328393  -3.516899   0.069500   0.068180   -0.791356   -1.028039
54   0.027892    2.915247  0.317862  -3.282337  -3.471725   0.071849   0.070461   -0.706359   -0.945522
55   0.028390    2.927541  0.319398  -3.236403  -3.426686   0.074251   0.072791   -0.621027   -0.862726
56   0.028888    2.940100  0.320962  -3.190579  -3.381770   0.076704   0.075170   -0.535343   -0.779639
57   0.029386    2.952930  0.322556  -3.144852  -3.336966   0.079212   0.077600   -0.449292   -0.696245
58   0.029884    2.966043  0.324180  -3.099213  -3.292263   0.081773   0.080081   -0.362858   -0.612534
59   0.030382    2.979447  0.325835  -3.053649  -3.247650   0.084390   0.082613   -0.276027   -0.528491
60   0.030880    2.993157  0.327523  -3.008152  -3.203119   0.087062   0.085198   -0.188785   -0.444107
61   0.031378    3.007182  0.329244  -2.962710  -3.158658   0.089791   0.087836   -0.101118   -0.359369
62   0.031876    3.021534  0.331000  -2.917316  -3.114261   0.092578   0.090528   -0.013012   -0.274267
63   0.032374    3.036227  0.332791  -2.871959  -3.069917   0.095423   0.093274    0.075546   -0.188791
64   0.032872    3.051273  0.334620  -2.826632  -3.025619   0.098327   0.096075    0.164568   -0.102931
65   0.033370    3.066687  0.336486  -2.781325  -2.981359   0.101291   0.098931    0.254067   -0.016679
66   0.033868    3.082483  0.338392  -2.736031  -2.937129   0.104316   0.101845    0.344056    0.069975
67   0.034366    3.098677  0.340338  -2.690743  -2.892923   0.107404   0.104815    0.434545    0.157039
68   0.034864    3.115284  0.342327  -2.645451  -2.848733   0.110554   0.107843    0.525548    0.244520
69   0.035362    3.132322  0.344359  -2.600151  -2.804552   0.113768   0.110930    0.617075    0.332426
70   0.035860    3.149807  0.346435  -2.554833  -2.760375   0.117046   0.114076    0.709137    0.420765
71   0.036358    3.167757  0.348558  -2.509493  -2.716195   0.120390   0.117281    0.801747    0.509541
72   0.036856    3.186192  0.350729  -2.464122  -2.672006   0.123801   0.120547    0.894914    0.598762
73   0.037354    3.205134  0.352949  -2.418716  -2.627804   0.127279   0.123875    0.988650    0.688433
74   0.037852    3.224597  0.355220  -2.373267  -2.583581   0.130825   0.127264    1.082964    0.778560
75   0.038350    3.244604  0.357542  -2.327770  -2.539334   0.134441   0.130715    1.177868    0.869148
76   0.038848    3.265178  0.359919  -2.282219  -2.495057   0.138128   0.134230    1.273373    0.960200
77   0.039346    3.286341  0.362351  -2.236609  -2.450745   0.141885   0.137808    1.369486    1.051721
78   0.039844    3.308116  0.364841  -2.190933  -2.406394   0.145716   0.141451    1.466220    1.143714
79   0.040342    3.330525  0.367388  -2.145187  -2.362000   0.149619   0.145158    1.563584    1.236184
80   0.040840    3.353594  0.369996  -2.099366  -2.317558   0.153597   0.148931    1.661588    1.329132
81   0.041338    3.377346  0.372665  -2.053464  -2.273064   0.157651   0.152770    1.760241    1.422561
82   0.041836    3.401808  0.375396  -2.007477  -2.228514   0.161781   0.156675    1.859553    1.516474
83   0.042334    3.427002  0.378192  -1.961399  -2.183905   0.165989   0.160648    1.959534    1.610871
84   0.042832    3.452956  0.381053  -1.915226  -2.139232   0.170275   0.164688    2.060193    1.705754
85   0.043330    3.479694  0.383981  -1.868954  -2.094493   0.174641   0.168797    2.161540    1.801125
86   0.043828    3.507240  0.386976  -1.822578  -2.049685   0.179088   0.172975    2.263583    1.896984
87   0.044326    3.535622  0.390039  -1.776094  -2.004804   0.183617   0.177221    2.366333    1.993331
88   0.044824    3.564863  0.393171  -1.729497  -1.959846   0.188229   0.181538    2.469798    2.090166
89   0.045322    3.594984  0.396372  -1.682783  -1.914810   0.192925   0.185924    2.573987    2.187490
90   0.045820    3.626015  0.399644  -1.635949  -1.869693   0.197707   0.190382    2.678910    2.285302
91   0.046318    3.657976  0.402985  -1.588989  -1.824491   0.202575   0.194910    2.784575    2.383602
92   0.046816    3.690889  0.406396  -1.541900  -1.779203   0.207530   0.199511    2.890992    2.482388
93   0.047314    3.724776  0.409877  -1.494679  -1.733826   0.212575   0.204183    2.998169    2.581661
94   0.047812    3.759657  0.413427  -1.447321  -1.688358   0.217709   0.208928    3.106116    2.681419
95   0.048310    3.795552  0.417046  -1.399822  -1.642796   0.222934   0.213746    3.214841    2.781661
96   0.048808    3.832480  0.420732  -1.352180  -1.597139   0.228252   0.218637    3.324354    2.882386
97   0.049306    3.870457  0.424485  -1.304390  -1.551384   0.233664   0.223602    3.434662    2.983595
98   0.049804    3.909505  0.428303  -1.256448  -1.505530   0.239170   0.228641    3.545775    3.085284
99   0.050302    3.949639  0.432185  -1.208352  -1.459575   0.244772   0.233755    3.657702    3.187454
100  0.050800    3.990879  0.436130  -1.160097  -1.413516   0.250472   0.238944    3.770452    3.290103
