      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    1.852040  0.173003  -7.869999  -7.938005   0.001038   0.001038   -6.831947   -6.900355
1    0.001498    1.855667  0.173518  -7.446845  -7.515052   0.001584   0.001583   -6.389399   -6.458217
2    0.001996    1.859341  0.174040  -7.140659  -7.209071   0.002150   0.002148   -6.063521   -6.132757
3    0.002494    1.863062  0.174568  -6.898596  -6.967215   0.002736   0.002734   -5.801465   -5.871128
4    0.002992    1.866831  0.175104  -6.697072  -6.765901   0.003343   0.003340   -5.579646   -5.649744
5    0.003490    1.870648  0.175646  -6.523492  -6.592534   0.003972   0.003966   -5.385467   -5.456008
6    0.003988    1.874512  0.176195  -6.370333  -6.439590   0.004622   0.004615   -5.211401   -5.282395
7    0.004486    1.878425  0.176751  -6.232739  -6.302214   0.005294   0.005285   -5.052591   -5.124045
8    0.004984    1.882387  0.177314  -6.107393  -6.177089   0.005989   0.005978   -4.905717   -4.977641
9    0.005482    1.886397  0.177883  -5.991927  -6.061848   0.006707   0.006694   -4.768410   -4.840813
10   0.005980    1.890457  0.178460  -5.884595  -5.954742   0.007449   0.007433   -4.638919   -4.711810
11   0.006478    1.894566  0.179044  -5.784067  -5.854444   0.008215   0.008196   -4.515914   -4.589302
12   0.006976    1.898725  0.179635  -5.689311  -5.759921   0.009006   0.008983   -4.398359   -4.472253
13   0.007474    1.902934  0.180233  -5.599507  -5.670354   0.009821   0.009795   -4.285434   -4.359844
14   0.007972    1.907194  0.180839  -5.513997  -5.585082   0.010663   0.010632   -4.176475   -4.251410
15   0.008470    1.911504  0.181452  -5.432238  -5.503565   0.011530   0.011495   -4.070939   -4.146409
16   0.008968    1.915866  0.182072  -5.353783  -5.425356   0.012424   0.012384   -3.968376   -4.044390
17   0.009466    1.920279  0.182699  -5.278258  -5.350078   0.013346   0.013301   -3.868408   -3.944976
18   0.009964    1.924745  0.183334  -5.205343  -5.277415   0.014295   0.014244   -3.770714   -3.847847
19   0.010462    1.929263  0.183976  -5.134769  -5.207095   0.015272   0.015216   -3.675021   -3.752729
20   0.010960    1.933834  0.184626  -5.066300  -5.138885   0.016278   0.016215   -3.581091   -3.659385
21   0.011458    1.938458  0.185283  -4.999736  -5.072581   0.017313   0.017244   -3.488721   -3.567611
22   0.011956    1.943137  0.185948  -4.934899  -5.008008   0.018378   0.018302   -3.397730   -3.477227
23   0.012454    1.947869  0.186621  -4.871633  -4.945010   0.019474   0.019390   -3.307961   -3.388076
