      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
0    0.001000    5.875307  0.576288  -7.869999  -8.708270   0.001038   0.001034   -6.831947   -7.674485
1    0.001498    5.896489  0.577500  -7.446845  -8.287255   0.001584   0.001574   -6.389399   -7.236288
2    0.001996    5.918036  0.578725  -7.140659  -7.983237   0.002150   0.002133   -6.063521   -6.914849
3    0.002494    5.939954  0.579965  -6.898596  -7.743372   0.002736   0.002709   -5.801465   -6.657321
4    0.002992    5.962250  0.581220  -6.697072  -7.544075   0.003343   0.003303   -5.579646   -6.440120
5    0.003490    5.984931  0.582488  -6.523492  -7.372752   0.003972   0.003916   -5.385467   -6.250648
6    0.003988    6.008004  0.583771  -6.370333  -7.221880   0.004622   0.004548   -5.211401   -6.081383
7    0.004486    6.031474  0.585069  -6.232739  -7.086603   0.005294   0.005200   -5.052591   -5.927465
8    0.004984    6.055351  0.586382  -6.107393  -6.963605   0.005989   0.005871   -4.905717   -5.785578
9    0.005482    6.079641  0.587709  -5.991927  -6.850518   0.006707   0.006563   -4.768410   -5.653353
10   0.005980    6.104352  0.589051  -5.884595  -6.745595   0.007449   0.007275   -4.638919   -5.529041
11   0.006478    6.129491  0.590408  -5.784067  -6.647508   0.008215   0.008008   -4.515914   -5.411312
12   0.006976    6.155067  0.591780  -5.689311  -6.555224   0.009006   0.008762   -4.398359   -5.299132
13   0.007474    6.181088  0.593166  -5.599507  -6.467925   0.009821   0.009539   -4.285434   -5.191683
14   0.007972    6.207563  0.594568  -5.513997  -6.384951   0.010663   0.010337   -4.176475   -5.088301
15   0.008470    6.234502  0.595985  -5.432238  -6.305762   0.011530   0.011158   -4.070939   -4.988445
16   0.008968    6.261913  0.597418  -5.353783  -6.229910   0.012424   0.012001   -3.968376   -4.891667
17   0.009466    6.289803  0.598865  -5.278258  -6.157020   0.013346   0.012868   -3.868408   -4.797591
18   0.009964    6.318185  0.600328  -5.205343  -6.086775   0.014295   0.013759   -3.770714   -4.705896
19   0.010462    6.347068  0.601807  -5.134769  -6.018904   0.015272   0.014674   -3.675021   -4.616312
20   0.010960    6.376461  0.603301  -5.066300  -5.953174   0.016278   0.015613   -3.581091   -4.528603
21   0.011458    6.406377  0.604810  -4.999736  -5.889382   0.017313   0.016578   -3.488721   -4.442567
22   0.011956    6.436827  0.606336  -4.934899  -5.827353   0.018378   0.017567   -3.397730   -4.358025
23   0.012454    6.467819  0.607877  -4.871633  -5.766931   0.019474   0.018583   -3.307961   -4.274820
24   0.012952    6.499365  0.609434  -4.809802  -5.707980   0.020601   0.019624   -3.219273   -4.192817
25   0.013450    6.531479  0.611007  -4.749284  -5.650378   0.021759   0.020693   -3.131541   -4.111890
26   0.013948    6.564171  0.612596  -4.689971  -5.594018   0.022949   0.021788   -3.044655   -4.031933
27   0.014446    6.597454  0.614201  -4.631765  -5.538802   0.024172   0.022911   -2.958515   -3.952845
28   0.014944    6.631340  0.615822  -4.574579  -5.484644   0.025428   0.024061   -2.873029   -3.874540
29   0.015442    6.665844  0.617460  -4.518333  -5.431466   0.026718   0.025240   -2.788116   -3.796937
30   0.015940    6.700977  0.619113  -4.462958  -5.379195   0.028043   0.026448   -2.703702   -3.719965
31   0.016438    6.736751  0.620783  -4.408387  -5.327769   0.029402   0.027685   -2.619718   -3.643557
32   0.016936    6.773184  0.622469  -4.354561  -5.277128   0.030797   0.028952   -2.536102   -3.567654
33   0.017434    6.810287  0.624172  -4.301427  -5.227219   0.032229   0.030248   -2.452797   -3.492201
34   0.017932    6.848077  0.625891  -4.248934  -5.177991   0.033698   0.031575   -2.369750   -3.417148
35   0.018430    6.886564  0.627626  -4.197036  -5.129401   0.035204   0.032934   -2.286912   -3.342448
36   0.018928    6.925768  0.629378  -4.145693  -5.081407   0.036748   0.034323   -2.204237   -3.268059
37   0.019426    6.965702  0.631146  -4.094863  -5.033970   0.038331   0.035744   -2.121684   -3.193942
38   0.019924    7.006381  0.632931  -4.044513  -4.987055   0.039954   0.037198   -2.039213   -3.120059
39   0.020422    7.047821  0.634732  -3.994608  -4.940628   0.041616   0.038684   -1.956788   -3.046378
40   0.020920    7.090038  0.636550  -3.945117  -4.894660   0.043320   0.040204   -1.874373   -2.972866
41   0.021418    7.133048  0.638384  -3.896011  -4.849123   0.045065   0.041757   -1.791936   -2.899494
42   0.021916    7.176867  0.640234  -3.847262  -4.803988   0.046852   0.043344   -1.709447   -2.826236
